"","lon","lat"
"179",-76.1489648,43.0693676
"180",-76.1526392,43.0542017
"181",-76.12722,43.0022273
"182",-76.1254505,43.0843472
"183",-76.1586625,43.0564091
"184",-76.1591309,43.046599
"185",-76.1594818,43.0587733
"186",-76.1591309,43.046599
"187",-76.1254505,43.0843472
"188",-76.1586625,43.0564091
"189",-76.1512041,43.0474589
"190",-76.1527775,43.0500708
"191",-76.1526392,43.0542017
"192",-76.1553832,43.055897
"193",-76.100965,43.089379
"194",-76.1586455,43.0484593
"195",-76.077649,43.0385144
"196",-76.1412057,43.0083113
"197",-76.12722,43.0022273
"198",-76.077649,43.0385144
"199",-76.1540375,43.0491692
"200",-76.164143,43.0529936
"201",-76.1586625,43.0564091
"202",-76.2612103,43.1092578
"203",-76.1176516,43.1038903
"204",-76.1499847,43.0515517
"205",-76.1499847,43.0515517
"206",-76.1511918,43.0492911
"207",-76.1499847,43.0515517
"208",-76.1529342,43.0473156
"209",-76.1310654,43.0490355
"210",-76.0647422,43.0438716
"211",-76.1310654,43.0490355
"212",-76.1310654,43.0490355
"213",-76.1176516,43.1038903
"214",-76.1310654,43.0490355
"215",-76.1310654,43.0490355
"216",-76.1176516,43.1038903
"217",-76.1310654,43.0490355
"218",-76.1310654,43.0490355
"219",-76.1538074,43.0527261
"220",-76.1310654,43.0490355
"221",-76.1366223,43.0431501
"222",-76.0647422,43.0438716
"223",-76.1310654,43.0490355
"224",-76.1546128,43.0484957
"225",-76.1310654,43.0490355
"226",-76.1553832,43.055897
"227",-76.1546128,43.0484957
"228",-76.12722,43.0022273
"229",-76.1512041,43.0474589
"230",-76.1586625,43.0564091
"231",-76.1546128,43.0484957
"232",-76.1176516,43.1038903
"233",-76.1511918,43.0492911
"234",-76.1176516,43.1038903
"235",-76.2612103,43.1092578
"236",-76.104549,43.082976
"237",-76.1591309,43.046599
"238",-76.0647422,43.0438716
"239",-76.1586625,43.0564091
"240",-76.1540375,43.0491692
"241",-76.1540375,43.0491692
"242",-76.077649,43.0385144
"243",-76.1546128,43.0484957
"244",-76.104549,43.082976
"245",-76.1546128,43.0484957
"246",-76.106931,43.080955
"247",-76.1499847,43.0515517
"248",-76.1298283,43.0833177
"249",-76.154039,43.046511
"250",-76.181641,43.0480239
"251",-76.1586455,43.0484593
"252",-76.1117999,43.114576
"253",-76.1452899,43.0508541
"254",-76.1286704,43.0480853
"255",-76.1535357,43.0508653
"256",-76.181641,43.0480239
"257",-76.1511918,43.0492911
"258",-76.181641,43.0480239
"259",-76.12722,43.0022273
"260",-76.1585047,43.0430548
"261",-76.154982,43.038882
"262",-76.181641,43.0480239
"263",-76.147741,43.050635
"264",-76.166535,43.047982
"265",-76.1286704,43.0480853
"266",-76.1286704,43.0480853
"267",-76.1529342,43.0473156
"268",-76.1286704,43.0480853
"269",-76.1578336,43.0588158
"270",-76.154982,43.038882
"271",-76.1586625,43.0564091
"272",-76.1452899,43.0508541
"273",-76.1310654,43.0490355
"274",-76.1286704,43.0480853
"275",-76.181641,43.0480239
"276",-76.209881,43.0630531
"277",-76.1594818,43.0587733
"278",-76.1499847,43.0515517
"279",-76.154982,43.038882
"280",-76.1286704,43.0480853
"281",-76.1761705,43.0613362
"282",-76.1489648,43.0693676
"283",-76.1489648,43.0693676
"284",-76.12722,43.0022273
"285",-76.1529342,43.0473156
"286",-76.2612103,43.1092578
"287",-76.147741,43.050635
"288",-76.12722,43.0022273
"289",-76.1553832,43.055897
"290",-76.1553832,43.055897
"291",-76.1286704,43.0480853
"292",-76.0647422,43.0438716
"293",-76.1540375,43.0491692
"294",-76.1594818,43.0587733
"295",-76.1497882,43.044032
"296",-76.1591309,43.046599
"297",-76.174103,43.061048
"298",-76.12722,43.0022273
"299",-76.1586455,43.0484593
"300",-76.12722,43.0022273
"301",-76.1546128,43.0484957
"302",-76.0647422,43.0438716
"303",-76.1343868,43.0441769
"304",-76.1499847,43.0515517
"305",-76.147741,43.050635
"306",-76.1511918,43.0492911
"307",-76.12722,43.0022273
"308",-76.1540375,43.0491692
"309",-76.209881,43.0630531
"310",-76.209881,43.0630531
"311",-76.209881,43.0630531
"312",-76.1412057,43.0083113
"313",-76.1493891,43.0756836
"314",-76.1585047,43.0430548
"315",-76.1310654,43.0490355
"316",-76.153028,43.048919
"317",-76.2122607,43.0712074
"318",-76.2122607,43.0712074
"319",-76.1540375,43.0491692
"320",-76.163181,43.058819
"321",-76.1537137,43.0415937
"322",-76.1374675,43.0570256
"323",-76.1543204,43.0501042
"324",-76.1522627,43.0431447
