"OBJECTID_1","OBJECTID","NAME","OWNER","TOWN","CLASS","CART_CL","ACRES","TYPE","GlobalID","TAX_ID","TNT_NAME","Nhood","Quad","LUCODE","LandUse","StNum","StName","YEARB","PNUMBR","WARD","SBL","TAX_ID2","TAX_ID3","TAX_ID4","TAX_ID5","TAX_ID6","TAX_ID7","Area_sqmi","Softball","Hardball","Soccer","T","FC","HC","H","HS","RS","Pool","Playground","Fieldhouse","GolfClubho","Bathouse","Pool_Mec","IceRink","Storage","Ball_Bldg","Rink_Bldg","Picnic_S","Greenhouse","Amphitheat","Gazebo","Rec_Bldg","Council_Di","Shape_Leng","Shape_Area","Park_Type"
12,140,"McChesney Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",4.06400551,"C","{CFB581A4-EEF3-43FB-9C7F-E861827B9336}","31150000600000110200000000","Northside","Court-Woodlawn","NW","963","Parks","169","HOOD AVE & MC CHESNEY PAR","0000","0341001400","03","005.-01-01.0","31150000500000010010000000",NA,NA,NA,NA,NA,0.00634987,2,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",2738.69403309,177023.584238,"Neighborhood"
13,141,"Duguid Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.0362359,"C","{9A8538B6-98AD-442E-855A-BD9E312519AC}","31150001000000040190000000","Northside","Northside","NE","963","Parks","1420","BUTTERNUT ST & GRANT BLVD",NA,"0413107601","04","010.-04-19.0",NA,NA,NA,NA,NA,NA,5.66174e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",183.978158279,1578.39721262,"Median"
14,142,"Feigel Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.34532848,"C","{9F551DAF-F70B-47DB-9E5E-7ABB44D15511}","31150001300000080210000000","Northside","Sedgwick","NE","330","Vacant Land","501","GRANT BLVD TO FEIGEL AVE",NA,"0434005700","04","013.-08-21.0","31150001300000080090010000",NA,NA,NA,NA,NA,0.000539564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",737.447972058,15042.1121541,"Median"
15,143,"Burlingham Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",3.29570302,"C","{2FEED69F-071F-410B-A205-D4650A1E6C22}","31150001300000110010000000","Northside","Sedgwick","NE","963","Parks","119","GRAY AVE & DORCHESTER AVE","0000","0434200100","04","013.-11-01.0",NA,NA,NA,NA,NA,NA,0.00515009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",1584.51577837,143575.746267,"OpenSpaceCemetary"
16,144,"Cummings Field","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",4.68975582,"C","{E23851B2-039E-4EC0-B71A-F3E8A37172CB}","31150002200000160170000000","Eastwood","Eastwood","NE","963","Parks","257","NORTH AVE REAR","1925","0465002901","04","022.-16-17.0",NA,NA,NA,NA,NA,NA,0.00732708,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"5",1779.03431365,204266.453979,"Neighborhood"
17,145,"Glencove Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.05179222,"C","{658F32B4-F7B7-4A00-B5C2-E423C9811001}","31150002600000110140000000","Eastwood","Eastwood","NE","692","Community Services","199","CONKLIN AVE & GLENCOVE RD","0000","0519001000","05","026.-11-14.0",NA,NA,NA,NA,NA,NA,8.09237e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",247.292500956,2256.01299129,"Median"
18,146,"Eastwood Senior Center","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.24243117,"C","{53FF6BC9-9758-49B0-B2AB-D45DB4C63248}","31150002700000160230000000","Eastwood","Eastwood","NE","682","Community Services","401-03","MIDLER AVE S & SUNNYCREST","1929","0561111100","05","027.-16-23.0",NA,NA,NA,NA,NA,NA,0.000378791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",424.002474868,10560.0451471,"Center"
19,147,"Sheridan Playground","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",1.16849214,"C","{7FB09B7E-2CB9-490F-B2DC-35B405EEF924}","31150002700000260040000000","Eastwood","Eastwood","NE","662","Community Services","2317","BURNET AVE & NICHOLS AVE","1987","0513007600","05","027.-26-04.0",NA,NA,NA,NA,NA,NA,0.00182573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",1005.08023268,50898.2462511,"PlayLotsFieldsCourts"
20,148,"Huntington Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",3.31022909,"C","{9B69C041-F4ED-4803-95F0-A5730F37DF6C}","31150002700000210660000000","Eastwood","Eastwood","NE","330","Vacant Land","1847","BURNET AVE REAR",NA,"0513001900","05","027.-21-66.0",NA,NA,NA,NA,NA,NA,0.00517212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",1525.41168882,144189.950406,"Neighborhood"
21,149,"Sunnycrest Park","CITY OF SYRACUSE","SYRACUSE","CITY","MAJOR",40.77635665,"C","{7E7607A1-F2F0-4924-BEB2-759561A22B50}","31150002800000040170000000","Eastwood","Eastwood","NE","963","Parks","701","ROBINSON ST","1965","0577000100","05","028.-04-17.0","31150002000000100280000000",NA,NA,NA,NA,NA,0.0637117,1,2,2,4,3,2,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,"1",6885.5457187,1776172.88419,"Community"
22,150,"Lincoln Park","CITY OF SYRACUSE","SYRACUSE","CITY","MAJOR",19.38001126,"C","{C5F56A78-24DD-4DAC-A412-213C3C772608}","31150002900000040010000000","Northside","Lincoln Hill","NE","963","Parks","100","ROBINSON ST & MATHER ST &","1960","0677001100","06","029.-04-01.0",NA,NA,NA,NA,NA,NA,0.0302806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",3790.4127085,844172.073491,"Community"
23,152,"Rose Hill","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",11.92533802,"C","{1B24FB8A-CAB4-46B2-B743-CBD5223CA25E}","31150001600000150010000000","Northside","Northside","NE","695","Cemetery","914","LODI ST & WILLOW ST E & H","0000","0653008100","06","016.-15-01.0",NA,NA,NA,NA,NA,NA,0.018633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",2931.84558695,519454.780202,"OpenSpaceCemetary"
24,153,"Highland Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.57382547,"C","{95F4D435-4D28-4675-8E61-DE65F97D3FB1}","31150001600000140170000000","Northside","Northside","NE","963","Parks","421","HIGHLAND ST & BEECHER ST","0000","0639101300","06","016.-14-17.0",NA,NA,NA,NA,NA,NA,0.000896584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",671.422714102,24995.2184319,"PlayLotsFieldsCourts"
25,154,"Amos Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.02510773,"C","{C1A8072E-AB4A-4FEB-A397-AAEBE8AB333B}","31150000800000130220000000","Northside","Northside","NW","963","Parks","1113","MCBRIDE ST N & DIVISION S","0000","0358003700","03","008.-13-22.0",NA,NA,NA,NA,NA,NA,3.92298e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",179.196132729,1093.65843396,"Median"
