OBJECTID,OID_,TAX_ID,Shape_Leng,FRONTFEET,DEPTH,ACRES,FFxDAcres,Shape_Acre,TAX_ID_1,SURA,SEIZB,TNT_NAME,Nhood,Quad,LUCODE,LandUse,Units,AmtDelinqu,TOTINT,YrsDelinqu,StNum,StName,Lvalue,Fvalue,CityTaxabl,STARS,STARC,STAR,YEARB,SALES,PNUMBR,WARD,SBL,CountyTXBL,SchoolTXBL,TOTSYR,TOTONO,INTSYR,INTONO,ACTRST,SENIOR_EXE,VET_EXEMPT
337,0,31150005000000040050000000,2085.56885137,237.30000000,553.53000000,3.02000000,3.01544236,3.22967090,31150005000000040050000000,N, ,Eastside,University Hill,SE,613,Schools,0.00000000,3977.64000000,5699.69000000,41.00000000,313,STADIUM PL,2156000.00000000,10875000.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,1686002801,16,050.-04-05.0,0.00000000,0.00000000,3719.37000000,258.27000000,5239.97000000,459.72000000, , , 
338,0,31150004600000170140000000,1749.93197856,360.00000000,249.00000000,2.06000000,2.05785124,2.59225337,31150004600000170140000000,N, ,Eastside,University Hill,SE,613,Schools,0.00000000,0.00000000,0.00000000,0.00000000,201,EUCLID AVE & COMSTOCK AVE,262900.00000000,3645400.00000000,0.00000000,0.00000000,0.00000000, ,1952, ,1626100400,16,046.-17-14.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
339,0,31150004600000170120000000,371.99990243,48.00000000,132.00000000,0.15000000,0.14545455,0.15589905,31150004600000170120000000,N, ,Eastside,University Hill,SE,613,Schools,0.00000000,0.00000000,0.00000000,0.00000000,754,OSTROM AVE,16800.00000000,134000.00000000,0.00000000,0.00000000,0.00000000, ,1945, ,1667004300,16,046.-17-12.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
340,0,31150009500000090030010000,825.91109968,124.47000000,287.37000000,0.82000000,0.82114196,0.82678441,31150009500000090030010000,Y, ,Southside,Southside,SE,662,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,900,STATE ST S & ADAMS ST E,711000.00000000,1270000.00000000,0.00000000,0.00000000,0.00000000, ,1974, ,0986106002,09,095.-09-03.1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
341,0,31150004900000050010000000,1181.17010163,492.37000000,98.17000000,1.11000000,1.10964102,1.10983604,31150004900000050010000000,N, ,Eastside,University Hill,SE,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,700,WALNUT AVE & HARRISON ST,241700.00000000,241700.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,1694005300,16,049.-05-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
342,0,31150004900000160010110000,6367.46614974,986.46000000,136.00000000,11.90000000,3.07985675,11.43604474,31150004900000160010110000,N, ,Eastside,University Hill,SE,613,Schools,0.00000000,0.00000000,0.00000000,0.00000000,700-86,ADAMS ST E TO IRVING AVE,1904100.00000000,37749000.00000000,0.00000000,0.00000000,0.00000000, ,1975, ,1501004402,15,049.-16-01.11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
343,0,31150009400000180010010000,1326.36608134,502.70000000,154.54000000,1.78000000,1.78345404,1.79102280,31150009400000180010010000,Y, ,Southside,Southside,SE,632,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,1003,MONTGOMERY ST & BURT ST,230000.00000000,2230000.00000000,230000.00000000,230000.00000000,230000.00000000, ,2005, ,1862001301,18,094.-18-01.1,230000.00000000,230000.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
344,0,31150004600000170110000000,364.00015872,50.00000000,132.00000000,0.15000000,0.15151515,0.15151904,31150004600000170110000000,N, ,Eastside,University Hill,SE,613,Schools,0.00000000,0.00000000,0.00000000,0.00000000,750,OSTROM AVE,16600.00000000,140000.00000000,0.00000000,0.00000000,0.00000000, ,1960, ,1667004200,16,046.-17-11.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
345,0,31150009500000090090010000,2506.70835873,250.00000000,537.00000000,3.08000000,3.08195592,5.75564958,31150009500000090090010000,Y, ,Southside,Southside,SE,612,Schools,0.00000000,0.00000000,0.00000000,0.00000000,701,WARREN ST S & ADAMS ST E,5012000.00000000,7850000.00000000,0.00000000,0.00000000,0.00000000, ,1940, ,0994306101,09,095.-09-09.1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
346,0,31150009600000190010000000,665.26020741,294.57000000,280.63000000,1.90000000,1.89773138,0.28700332,31150009600000190010000000,Y, ,Southside,Southside,SE,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,601,SALINA ST S & WARREN ST S,82300.00000000,82300.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,0979109300,09,096.-19-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
