"Status","Score","Match_type","Match_addr","Side","Ref_ID","User_fld","Addr_type","ARC_Street","ARC_City","ARC_State","ARC_ZIP","Status_1","Score_1","Match_ty_1","Match_ad_1","Side_1","Ref_ID_1","User_fld_1","Addr_typ_1","ARC_Stre_1","ARC_City_1","ARC_ZIP_1","Supermarke","Location","City","State","ZipCode","coords.x1","coords.x2"
"M",82.32,"M","340 Towne Dr, Fayetteville, 36, 13066","R",477440259,"0","StreetAddress",NA,NA,"NEW YORK",NA,"M",94.37,"A","340 Towne Dr, Fayetteville, 13066","R",477440259,"0","StreetAddress","340 TOWNE DR.","SYRACUSE","13066","Target - Fayetteville","340 Towne Dr.","Fayetteville","36",13066,417070.040544644,4765055.35731484
"M",87.14,"A","6820 E Genesee St, Fayetteville, 36, 13066","R",477441277,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","6820 E Genesee St, Fayetteville, 13066","R",477441277,"0","StreetAddress","6820 E. Genesee St.","Fayetteville","13066","Aldi - Fayetteville","6820 E. Genesee St.","Fayetteville","New York",13066,414423.790502234,4764716.17503719
"M",100,"PP",NA,NA,0,NA,NA,NA,NA,"NEW YORK",NA,"U",0,"A",NA,NA,-1,NA,NA,"8770 DELL CENTER DR","LIVERPOOL","13090","Walmart Supercenter - Liverpool","8770 Dell Center Dr",NA,NA,13090,399321.848905998,4782474.74237912
"M",87.14,"A","4979 W Taft Rd, Liverpool, 36, 13088","L",477421794,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","4979 W Taft Rd, Liverpool, 13088","L",477421794,"0","StreetAddress","4979 West Taft Road","Liverpool","13088","Wegmans - Taft Road","4979 West Taft Road","Liverpool","New York",13088,404846.989848633,4774971.52032892
"M",87.14,"M","6633 Manlius Center Rd, East Syracuse, 36, 13057","L",477431045,"0","StreetAddress",NA,NA,"NEW YORK",NA,"M",100,"A","6633 Manlius Center Rd, East Syracuse, 13057","L",477431045,"0","StreetAddress","6633 MANLIUS CENTER RD.","EAST SYRACUSE","13057","Aldi - East Syracuse","6633 Manlius Center Rd.","East Syracuse","36",13057,413656.799074046,4768410.39215757
"M",87.14,"A","8064 Brewerton Rd, Cicero, 36, 13039","R",513530314,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","8064 Brewerton Rd, Cicero, 13039","R",513530314,"0","StreetAddress","8064 Brewerton Rd.","Cicero","13039","Walmart Supercenter - Cicero","8064 Brewerton Rd.","Cicero","New York",13039,408948.729792383,4779395.27449438
"M",87.14,"A","7519 Oswego Rd, Liverpool, 36, 13090","L",477419850,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","7519 Oswego Rd, Liverpool, 13090","L",477419850,"0","StreetAddress","7519 Oswego Road","Liverpool","13090","Wegmans - John Glenn","7519 Oswego Road","Liverpool","New York",13090,400534.261397873,4776475.94896874
"M",87.14,"A","27 E Main St, Marcellus, 36, 13108","L",477447532,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","27 E Main St, Marcellus, 13108","L",477447532,"0","StreetAddress","27 E Main St.","Marcellus","13108","Nojaim Brothers of Marcellus","27 E Main St.","Marcellus","New York",13108,390983.026208031,4759752.81509043
"M",92.5,"M","7421 Oswego Rd, Liverpool, 36, 13090","L",477420482,"0","StreetAddress",NA,NA,"36",NA,"M",85,"A","7421 Oswego Rd, Liverpool, 13090","L",477420482,"0","StreetAddress","7421 OSWEGO RD","LIVERPOOL","13088","Aldi - Liverpool","7421 Oswego Road","Liverpool","36",13088,400793.045086079,4776017.71664668
"M",87.14,"A","139 Gertrude St, Syracuse, 36, 13203","L",477433812,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","139 Gertrude St, Syracuse, 13203","L",477433812,"0","StreetAddress","139 Gertrude St","Syracuse","13203","Dominick's Market","139 Gertrude St","Syracuse","New York",13203,407347.108483718,4767457.79541096
"M",87.14,"A","40 Fennell St, Skaneateles, 36, 13152","R",477448999,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","40 Fennell St, Skaneateles, 13152","R",477448999,"0","StreetAddress","40 Fennell St.","Skaneateles","13152","Tops - Skaneateles","40 Fennell St.","Skaneateles","New York",13152,383083.88975747,4756068.81244406
"M",87.14,"A","307 Gifford St, Syracuse, 36, 13204","L",477437226,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","307 Gifford St, Syracuse, 13204","L",477437226,"0","StreetAddress","307 Gifford St.","Syracuse","13204","Nojaim Brothers of Syracuse","307 Gifford St.","Syracuse","New York",13204,405631.155137618,4766282.99402938
"M",87.14,"A","119 W Seneca St, Manlius, 36, 13104","R",477445979,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","119 W Seneca St, Manlius, 13104","R",477445979,"0","StreetAddress","119 West Seneca St.","Manlius","13104","Tops - Manlius","119 West Seneca St.","Manlius","New York",13104,420051.488366024,4761291.58941347
"M",100,"PP",NA,NA,0,NA,NA,NA,NA,"NEW YORK",NA,"M",100,"A","3942 State Route 31, Liverpool, 13090","R",477414095,"0","StreetAddress","3942 STATE ROUTE 31","LIVERPOOL","13090","Aldi - Clay","3942 State Route 31",NA,NA,13090,399345.661453623,4782006.42894249
"M",100,"PP",NA,NA,0,NA,NA,NA,NA,"NEW YORK",NA,"M",94.74,"A","3863 State Route 31, Liverpool, 13090","L",477414237,"0","StreetAddress","3863 STATE RTE 31","CLAY","13090","Price Chopper - Clay","3863 State Rte 31",NA,NA,13090,398795.988479277,4782405.95057486
"M",87.14,"A","220 S Geddes St, Syracuse, 36, 13204","R",477436561,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","220 S Geddes St, Syracuse, 13204","R",477436561,"0","StreetAddress","220 S Geddes Street","Syracuse","13204","Save-A-Lot","220 S Geddes Street","Syracuse","New York",13204,404622.114538885,4766547.63761602
"M",100,"PP",NA,NA,0,NA,NA,NA,NA,"NEW YORK",NA,"M",89.04,"A","3955 State Route 31, Liverpool, 13090","L",477414084,"0","StreetAddress","3955 RT 31","LIVERPOOL","13090","Wegmans - Great Northern","3955 Rt 31",NA,NA,13090,399394.609468186,4782296.80973158
"M",87.14,"A","181 Shop City Plz, Syracuse, 36, 13206","R",477428903,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","181 Shop City Plz, Syracuse, 13206","L",477428903,"0","StreetAddress","181 Shop City Plaza","Syracuse","13206","Tops - Shop City","181 Shop City Plaza","Syracuse","New York",13206,408950.865109357,4769608.34424113
"M",92.5,"M","620 Nottingham Rd, Syracuse, 36, 13224","R",477443052,"0","StreetAddress",NA,NA,"36",NA,"M",85,"A","620 Nottingham Rd, Syracuse, 13224","R",477443052,"0","StreetAddress","620 NOTTINGHAM RD.","SYRACUSE","13210","Tops - Nottingham Road","620 Nottingham Rd.","Syracuse","36",13210,409577.827193544,4763859.31057713
"M",87.14,"A","700 1st North St, Syracuse, 36, 13208","R",477429700,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","700 1st North St, Syracuse, 13208","R",477429700,"0","StreetAddress","700 1st North St.","Syracuse","13208","Tops - Northside","700 1st North St.","Syracuse","New York",13208,406455.518077448,4769165.10387009
"M",87.14,"A","500 Butternut St, Syracuse, 36, 13208","R",477432028,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","500 Butternut St, Syracuse, 13208","R",477432028,"0","StreetAddress","500 Butternut Street","Syracuse","13208","Save-A-Lot","500 Butternut Street","Syracuse","New York",13208,406463.599100168,4768016.28365258
"M",100,"PP",NA,NA,0,NA,NA,NA,NA,"NEW YORK",NA,"M",100,"A","3857 State Route 31, Liverpool, 13090","L",477414237,"0","StreetAddress","3857 STATE ROUTE 31","LIVERPOOL","13090","Target - Clay","3857 State Route 31",NA,NA,13090,397866.637662242,4782386.10678518
"M",87.14,"A","618 Kensington Rd, Syracuse, 36, 13210","R",477440713,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","618 Kensington Rd, Syracuse, 13210","R",477440713,"0","StreetAddress","618 Kensington Rd.","Syracuse","13210","Syracuse Real Food Co-Op","618 Kensington Rd.","Syracuse","New York",13210,408999.564976539,4764962.05257233
"M",87.14,"A","6111 S Salina St, Syracuse, 36, 13205","L",477447578,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","6111 S Salina St, Syracuse, 13205","L",477447578,"0","StreetAddress","6111 S. Salina St.","Syracuse","13205","Aldi - Syracuse","6111 S. Salina St.","Syracuse","New York",13205,406824.664483959,4759494.48868284
"M",87.14,"M","3440 Erie Blvd E, Syracuse, 36, 13214","R",477437449,"0","StreetAddress",NA,NA,"NEW YORK",NA,NA,0,NA,NA,NA,0,NA,NA,"3440 ERIE BLVD E","SYRACUSE","13214","Trader Joe's","3440 Erie Blvd E","Syracuse","36",13214,412910.585053482,4766429.6709057
"M",87.14,"M","3160 Erie Blvd E, Syracuse, 36, 13214","R",477433571,"0","StreetAddress",NA,NA,"NEW YORK",NA,NA,0,NA,NA,NA,0,NA,NA,"3160 ERIE BLVD E","SYRACUSE","13214","Natur-Tyme","3160 Erie Blvd. E","Syracuse","36",13214,412319.909808619,4767442.20760069
