"TRACT","LON","LAT"
"61.03",-76.14371691,42.99875105
"54",-76.14497426,43.02597613
"38",-76.17451782,43.03572128
"45",-76.11845879,43.04093805
"36.02",-76.09392589,43.04835361
"32",-76.14894634,43.04737853
"20",-76.18736432,43.05300439
"14",-76.14552455,43.06153399
"19",-76.10351027,43.06842846
