"TRACT","LIBRARY","YEAR"
"36067001400",1,2017
"36067001900",1,2017
"36067002000",1,2017
"36067003200",1,2017
"36067003602",1,2017
"36067003800",1,2017
"36067004500",1,2017
"36067005400",1,2017
"36067006103",1,2017
