"","TRACT","YEAR","RATING","REVIEWS","PRICE","ESTABLISHMENTS","BARS","RESTAURANTS","STARS_4_5","STARS_3_4","STARS_2_3","STARS_1_2","STARS_0_1"
"86","36067000700",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","36067000800",2017,2.30107526866667,10.6666666666667,NA,3,NA,3,1,NA,1,NA,1
"88","36067000900",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","36067001000",2017,1.85,2.4,NA,10,2,8,2,2,1,1,4
"90","36067001400",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","36067001500",2017,1.55523255825,22.75,NA,4,86,3,1,NA,1,NA,2
"92","36067001600",2017,1.9626785714,6.3,NA,10,NA,10,2,2,1,NA,5
"93","36067001701",2017,1.2,1.66666666666667,NA,3,0,2,NA,1,NA,NA,2
"94","36067001702",2017,3.296206816,28.6666666666667,NA,6,1,5,3,1,1,NA,1
"95","36067001800",2017,0,0,NA,3,NA,3,NA,NA,NA,NA,3
"96","36067001900",2017,2.430952381,5.22222222222222,NA,9,NA,9,3,2,1,NA,3
"97","36067002000",2017,3.44735017314286,31.7142857142857,NA,7,NA,7,2,4,NA,NA,1
"98","36067002300",2017,1.90245743775,12.45,NA,20,0,19,4,5,1,1,9
"99","36067002400",2017,3.72742867466667,32,NA,6,1,5,5,NA,1,NA,NA
"100","36067002700",2017,3.38802100966667,17.4444444444444,NA,9,115,6,5,1,1,2,NA
"101","36067003000",2017,4.013888889,5.33333333333333,NA,3,NA,3,2,1,NA,NA,NA
"102","36067003200",2017,2.22863034157025,40.801652892562,NA,121,483,100,26,36,8,5,46
"103","36067003400",2017,3.09327976652941,43.2941176470588,NA,17,NA,17,5,6,3,NA,3
"104","36067003500",2017,2.47684240777778,15.4444444444444,NA,9,NA,9,2,3,1,NA,3
"105","36067003601",2017,2.4166666665,3,NA,2,NA,2,1,NA,NA,NA,1
"106","36067003602",2017,3.16989790607692,43.5384615384615,NA,13,39,12,3,7,1,NA,2
"107","36067003800",2017,1.66666666666667,1,NA,3,NA,3,1,NA,NA,1,1
"108","36067003900",2017,0,0,NA,2,NA,2,NA,NA,NA,NA,2
"109","36067004000",2017,1.25,0.25,NA,4,NA,4,1,NA,NA,NA,3
"110","36067004200",2017,2,1,NA,1,NA,1,NA,NA,1,NA,NA
"111","36067004400",2017,4.25,4,NA,1,NA,1,1,NA,NA,NA,NA
"112","36067004500",2017,3.29448726091667,53.25,NA,12,29,10,1,7,3,1,NA
"113","36067004600",2017,3.25,2.33333333333333,NA,3,1,2,1,1,1,NA,NA
"114","36067004800",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","36067004900",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","36067005000",2017,4.5,2.5,NA,2,NA,2,2,NA,NA,NA,NA
"117","36067005100",2017,0,0,NA,1,NA,1,NA,NA,NA,NA,1
"118","36067005200",2017,4.222222222,9,5,1,NA,1,1,NA,NA,NA,NA
"119","36067005300",2017,0,0,NA,1,NA,1,NA,NA,NA,NA,1
"120","36067005400",2017,0.666666666666667,0.166666666666667,NA,6,NA,6,1,NA,NA,NA,5
"121","36067005500",2017,4.24,25,5,1,NA,1,1,NA,NA,NA,NA
"122","36067005601",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","36067005602",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","36067005700",2017,4.25,9.5,5,2,17,1,2,NA,NA,NA,NA
"125","36067005800",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","36067005900",2017,1.5,0.5,NA,2,NA,2,NA,1,NA,NA,1
"127","36067006000",2017,3.3546666668,11.4,NA,5,NA,5,2,2,NA,1,NA
"128","36067006101",2017,1.5625,1.25,NA,8,NA,8,NA,2,2,1,3
"129","36067006102",2017,0,0,NA,1,NA,1,NA,NA,NA,NA,1
"130","36067006103",2017,4,1,NA,1,NA,1,1,NA,NA,NA,NA
"131","36067016901",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","36067011700",2017,2.9205072464,26.8,NA,5,0,4,2,1,1,NA,1
"133","36067011800",2017,1.83333333333333,1,NA,3,2,1,NA,1,1,NA,1
"134","36067011900",2017,2.611111111,6,NA,2,NA,2,NA,1,1,NA,NA
"135","36067011242",2017,1.8,5,9.5,1,NA,1,NA,NA,NA,1,NA
"136","36067011232",2017,4.066666667,15,5,1,NA,1,1,NA,NA,NA,NA
"137","36067010322",2017,3.6835664335,17.5,9.5,2,NA,2,1,1,NA,NA,NA
"138","36067010321",2017,3.409090909,7.5,NA,2,NA,2,NA,2,NA,NA,NA
"139","36067011231",2017,3.1555555555,7,NA,2,9,1,NA,2,NA,NA,NA
"140","36067000100",2017,2.46593078417073,27.9512195121951,NA,41,285,36,3,16,11,3,8
