"","TRACT","YEAR","PER_TOT_FRQ","PER_TOT_VAL","PER_RES_FRQ","PER_RES_VAL","PER_COM_FRQ","PER_COM_VAL","PER_INS_FRQ","PER_INS_VAL"
"233",58,2016,19,127655,8,27200,1,49000,8,26455
"234",59,2012,48,237471,9,50300,1,16000,37,164171
"235",59,2013,32,77840,4,15000,2,1500,26,61340
"236",59,2014,25,103839,4,45300,NA,NA,20,41639
"237",59,2015,21,128064,5,33960,NA,NA,13,44854
"238",59,2016,22,73878,7,18500,1,2800,13,32878
"239",6,2012,25,39684,1,780,2,1700,21,36004
"240",6,2013,32,244760,5,43700,NA,NA,24,168060
"241",6,2014,53,2019055,17,97095,4,1451000,30,453660
"242",6,2015,43,229960,12,60465,1,5000,28,142245
"243",6,2016,29,106874,7,26612,NA,NA,19,44812
"244",60,2012,49,275696,7,65200,1,135000,38,60596
"245",60,2013,77,224272,14,96260,NA,NA,63,128012
"246",60,2014,63,240734.89,13,75415,NA,NA,50,165319.89
"247",60,2015,79,371811.52,24,180613.52,3,25712,51,164986
"248",60,2016,52,186104,20,90478,NA,NA,29,68226
"249",61.01,2012,62,5835911.75,4,30400,7,4124500,50,1681011.75
"250",61.01,2013,66,2170413,9,44550,2,1309700,53,809163
"251",61.01,2014,83,3878268.74,14,79951,4,2534701,62,1219266.74
"252",61.01,2015,52,1987822,11,55850,4,1738282,34,131840
"253",61.01,2016,49,3464105.03,11,114340,4,1369000,31,1947115.03
"254",61.02,2012,19,146926,1,5000,1,74000,17,67926
"255",61.02,2013,10,146188,NA,NA,NA,NA,10,146188
"256",61.02,2014,24,7101119.05,1,1000,5,6247400,18,852719.05
"257",61.02,2015,15,590601.05,3,7500,1,25000,11,558101.05
"258",61.02,2016,6,68665.53,1,19800,NA,NA,4,47665.53
"259",61.03,2012,37,97215,2,9400,NA,NA,35,87815
"260",61.03,2013,55,214934,15,115800,2,20328,38,78806
"261",61.03,2014,52,661045.54,15,185200,1,2000,34,473345.54
"262",61.03,2015,70,490646,21,343710,NA,NA,47,134936
"263",61.03,2016,40,147172,14,65174,NA,NA,26,81998
"264",7,2012,24,811286,3,13800,2,405000,18,367986
"265",7,2013,34,134665,9,42752,1,1000,22,81113
"266",7,2014,23,67523.99,8,33525,NA,NA,14,24998.99
"267",7,2015,26,198637.05,8,41900,1,105000,16,41737.05
"268",7,2016,21,63158,4,34590,NA,NA,17,28568
"269",8,2012,36,49680,3,3300,1,2000,31,43480
"270",8,2013,28,128627,9,102855,NA,NA,19,25772
"271",8,2014,47,144798.66,11,35700,NA,NA,32,46098.66
"272",8,2015,26,107121.96,7,35090,NA,NA,18,58131.96
"273",8,2016,26,116212,10,67700,NA,NA,16,48512
"274",9,2012,63,231788,14,74950,1,7450,48,149388
"275",9,2013,69,304085,12,107000,2,11000,54,184885
"276",9,2014,66,283545.99,13,78925,2,7800,51,196820.99
"277",9,2015,58,280437,20,136600,NA,NA,37,143087
"278",9,2016,56,457152,18,145318,1,150000,36,160834
