"TRACT","YEAR","LIHTC"
36067001600,2007,1
36067002300,2009,1
36067003400,2008,1
36067003400,2013,1
36067003500,2008,1
36067003500,2009,1
36067003500,2012,1
36067004000,2008,1
36067004000,2010,1
36067004200,2012,1
36067005400,2006,1
36067006101,2006,1
